NCM;InicioVigencia;FimVigencia
85229090;01/01/2016;31/03/2022
85232921;01/01/2016;31/03/2022
85232922;01/01/2016;31/03/2022
85232923;01/01/2016;31/03/2022
85232924;01/01/2016;31/03/2022
85232929;01/01/2016;31/03/2022
85232931;01/01/2016;31/03/2022
85232932;01/01/2016;31/03/2022
85232933;01/01/2016;31/03/2022
85232939;01/01/2016;31/03/2022
85255012;01/01/2016;31/03/2022
85258011;01/01/2016;31/03/2022
85258012;01/01/2016;31/03/2022
85258014;01/10/2021;31/03/2022
85258015;01/10/2021;31/03/2022
85258019;01/01/2016;31/03/2022
85258021;01/01/2016;31/03/2022
85258022;01/01/2016;31/03/2022
85258029;01/01/2016;31/03/2022
85271910;01/01/2016;31/03/2022
85271990;01/01/2016;31/03/2022
85284210;01/01/2017;31/03/2022
85284220;01/01/2017;31/03/2022
85284910;01/01/2016;31/03/2022
85284921;01/01/2016;31/03/2022
85284929;01/01/2016;31/03/2022
85285210;01/01/2017;31/03/2022
85285220;01/01/2017;31/03/2022
85285910;01/01/2016;31/03/2022
85285920;01/01/2016;31/03/2022
85291011;01/01/2016;31/03/2022
85291019;01/01/2016;31/03/2022
85395000;01/01/2017;31/03/2022
85414011;01/01/2016;31/03/2022
85414012;01/01/2016;31/03/2022
85414013;01/01/2016;31/03/2022
85414014;01/01/2016;31/03/2022
85414015;01/01/2016;31/03/2022
85414017;01/10/2021;31/03/2022
85414018;01/10/2021;31/03/2022
85414019;01/01/2016;31/03/2022
85414021;01/01/2016;31/03/2022
85414022;01/01/2016;31/03/2022
85414023;01/01/2016;31/03/2022
85414024;01/01/2016;31/03/2022
85414025;01/01/2016;31/03/2022
85414026;01/01/2016;31/03/2022
85414027;01/01/2016;31/03/2022
85414029;01/01/2016;31/03/2022
85414031;01/01/2016;31/03/2022
85414032;01/01/2016;31/03/2022
85414039;01/01/2016;31/03/2022
85415010;01/01/2016;31/03/2022
85415020;01/01/2016;31/03/2022
85429010;01/01/2016;31/03/2022
85429020;01/01/2016;31/03/2022
85429090;01/01/2016;31/03/2022
85481010;01/01/2016;31/03/2022
85481090;01/01/2016;31/03/2022
85489010;01/01/2016;31/03/2022
85489090;01/01/2016;31/03/2022
87012000;01/01/2016;31/03/2022
88031000;01/01/2016;31/03/2022
88032000;01/01/2016;31/03/2022
88033000;01/01/2016;31/03/2022
88039000;01/01/2016;31/03/2022
89031000;01/01/2016;31/03/2022
89039100;01/01/2016;31/03/2022
89039200;01/01/2016;31/03/2022
90065100;01/01/2016;31/03/2022
90065200;01/01/2016;31/03/2022
90138010;01/01/2016;31/03/2022
90138090;01/01/2016;31/03/2022
90229011;01/01/2016;31/03/2022
90229012;01/01/2016;31/03/2022
90229019;01/01/2016;31/03/2022
90229090;01/01/2016;31/03/2022
90278011;01/01/2016;31/03/2022
90278012;01/01/2016;31/03/2022
90278013;01/01/2016;31/03/2022
90278014;01/01/2016;31/03/2022
90278020;01/01/2016;31/03/2022
90278030;01/01/2016;31/03/2022
90278091;01/01/2016;31/03/2022
90278099;01/01/2016;31/03/2022
91141000;01/01/2016;31/03/2022
91149010;01/01/2016;31/03/2022
91149020;01/01/2016;31/03/2022
91149030;01/01/2016;31/03/2022
